epoch,train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mcc,train_kappa,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mcc,val_kappa
1,0.7553110773899848,0.5431292096583755,0.4539634050186983,0.45016828871496195,0.8876193381114751,0.625399343623135,0.6104828860308141,0.8212121212121212,0.6760215283718278,0.5307731930976238,0.5454674457888302,0.9671564576232157,0.7364709022196156,0.7157041687960867
2,0.8732928679817906,0.847694189256805,0.6587410373925134,0.6797401880845328,0.9777484175927043,0.8119828229757003,0.8039677415045355,0.8878787878787879,0.8607508516803868,0.7046760435628827,0.7374240787441415,0.9809061505761163,0.8328126218951603,0.8275259293788603
3,0.9260242792109257,0.8817421196553618,0.8085760120092755,0.8327285569035118,0.9879001981147798,0.8890775196534473,0.8878086832700445,0.9242424242424242,0.8957545473050834,0.8282875492430646,0.8553371104548774,0.9828083610759352,0.8862968742213472,0.8851162936427535
4,0.9374051593323217,0.893047917152645,0.8452728784695893,0.8647390492977294,0.9904029126059534,0.9060520049102693,0.905412335150102,0.9378787878787879,0.8987175576722797,0.8731670445468609,0.8848112484232044,0.9841515235250796,0.9065288182423356,0.9063282112703847
5,0.9446130500758725,0.8983655755440647,0.873311449361361,0.8846194909210432,0.9917886272016576,0.9167585441063796,0.9165752082769283,0.9318181818181818,0.8919714781249933,0.8609876134235701,0.8740489774691405,0.9843114791807859,0.897554594476304,0.8972101377799466
6,0.954855842185129,0.9239247499919877,0.8942872558799084,0.9077943671690631,0.9933891343611239,0.9321893096320333,0.9319554679292604,0.9272727272727272,0.8822431726488521,0.8687602811287354,0.8723518678534022,0.9851669261431691,0.8912625526113199,0.8909481452923196
7,0.9590288315629742,0.9292292709331704,0.9101083862758547,0.9189707074195729,0.9943938139058739,0.9384384477144472,0.938362730808502,0.9348484848484848,0.8940184490615538,0.8797709804904471,0.8858856773465316,0.9856863850095726,0.9022284851473655,0.9020977573556046
8,0.9556145675265554,0.9232176873861674,0.9037345980774477,0.9129578548346563,0.9945988192114938,0.9332909169751955,0.9331923148157174,0.9303030303030303,0.8877627365705136,0.8700226221307099,0.8772721639323795,0.9854760272179037,0.8953937081790937,0.8952608646153528
9,0.9590288315629742,0.9313679552933003,0.9090679097029323,0.9192707837119185,0.9947489946859761,0.9384373295556959,0.9383363899297152,0.9287878787878788,0.8805298553022766,0.8717215625764533,0.8748105873435076,0.9853794960608987,0.8934669098104009,0.8932766343950622
10,0.9669954476479514,0.9447807630260818,0.9300762902573403,0.9370555148153299,0.9960774649490762,0.950447061167998,0.9503775046072375,0.9257575757575758,0.8835952406326151,0.863990929339552,0.8722125389808436,0.9853658469994968,0.8886753740780753,0.8884546799711651
11,0.9673748103186647,0.943862647833597,0.9270834830081526,0.9350968951694199,0.9964755751098616,0.9509899235326688,0.9509176950785406,0.9318181818181818,0.8904393008194555,0.8641939218803921,0.8760433883443873,0.9854396375758722,0.8974779883343714,0.8972147623134639
12,0.9688922610015175,0.9455170867356968,0.9334451317962325,0.9391686460638053,0.996654465134764,0.9532933794367766,0.9532559629182542,0.9257575757575758,0.8781557335865561,0.8630859519639864,0.8695371128637222,0.98537702963945,0.8886862907775518,0.8885054419962836
