epoch,train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mcc,train_kappa,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mcc,val_kappa
1,0.7261864117446227,0.3920420498729749,0.3919377140306869,0.3624521882759336,0.8557081774392236,0.5725797055451587,0.5501539186294684,0.7557980900409277,0.39575319761078276,0.41018948865763266,0.3697091030564937,0.9208444572183316,0.6373152185187896,0.6055312867351941
2,0.8105155343120519,0.7407862260077396,0.550312356480817,0.572705281927038,0.9276728568479546,0.7138288717652711,0.7025703881709888,0.800818553888131,0.7319371456070971,0.5581789423837877,0.5710744559204131,0.9390204503838202,0.6991206857270568,0.691776422846182
3,0.8354387162854217,0.722812331325439,0.6247939711258249,0.6531820821470451,0.9443949894314138,0.7502997273105644,0.7455870798463191,0.8076398362892224,0.6854045321531356,0.5815619485973024,0.6083731282005582,0.9429998823857705,0.7101733136520659,0.7020505591254638
4,0.8456811198361216,0.745407702281106,0.6555344567405177,0.6859019203520645,0.9525547345039472,0.7655704122231937,0.7619731424479383,0.8321964529331515,0.7564534004412875,0.6266519836351753,0.6542516988318201,0.9483576821509848,0.7481326720958257,0.7422482060664971
5,0.8497780812564015,0.7424074418321536,0.6656139651961743,0.6919398478880865,0.9577122494830885,0.7717936005914543,0.769133345395332,0.8294679399727148,0.780959161373142,0.6096370268718265,0.6326775877332473,0.9493466366331582,0.7434119921417275,0.7367468373706001
6,0.8579720040969614,0.7668882953983895,0.6858476958708695,0.7153152833367683,0.9610525058088524,0.7847530080158162,0.7818452658039289,0.8403819918144612,0.8320151620406275,0.6139751517653297,0.6488036752821233,0.9529764577338137,0.7625313934104535,0.7517253957409359
7,0.8637760327756914,0.7805573369997744,0.6967233416365789,0.7271577132447875,0.9644711244282027,0.793817147569385,0.7908117411099048,0.8431105047748977,0.7696629494033964,0.6376483446901308,0.6677150533163416,0.9549367938204864,0.7621607953770928,0.7574454003970881
8,0.8743598497780812,0.7922015559830818,0.7277264613112379,0.7533625141322795,0.9676037531918557,0.8094343623114072,0.8078736592560904,0.8390177353342428,0.782346758000266,0.6411823391576432,0.6630550273986928,0.9528118863442808,0.755566100643458,0.7524109404743162
9,0.8794810515534313,0.8048574952951707,0.7340333041319961,0.7618112816273032,0.9698267036689728,0.817318511165445,0.8155247685577958,0.844474761255116,0.8005762306606179,0.6354840837109959,0.6696468533384399,0.958004889900336,0.7647141538861602,0.7587256306014968
10,0.8832365995220212,0.8129326954335871,0.7472448693627689,0.7736025086144557,0.9712201068126362,0.8231295264985106,0.821579021333009,0.8417462482946794,0.7218552714130092,0.6709450407078934,0.6813187307381983,0.9556172007333265,0.7626249379731755,0.7602934170056693
11,0.8784568111983612,0.8097068100206904,0.741201759671774,0.7686264766622495,0.9694788900955116,0.8156787996967493,0.8141518330495562,0.844474761255116,0.73290919016871,0.6480175194896074,0.667171401894091,0.9572729144975257,0.7661794699647666,0.7621660699139879
12,0.893820416524411,0.8312897225136495,0.7754340938020199,0.7987919871310216,0.9748576528790045,0.8392549469390237,0.8381954793729739,0.8376534788540245,0.7741969820072452,0.6206737911458792,0.633451756316456,0.95852999135819,0.7567490287603487,0.7503798946311087
13,0.898258791396381,0.8346343963886664,0.7900008523789299,0.8095287537117345,0.9805000563299044,0.845881439257665,0.8452199506990391,0.8472032742155525,0.7357122977419536,0.6746736626581689,0.6934787968468974,0.9603187534655842,0.7709174320607998,0.7678280542986425
14,0.899624445203141,0.8341267347641942,0.7911480787543015,0.8099748174277235,0.9803674141521865,0.8480058875093238,0.8473743184691881,0.8485675306957708,0.770441410777164,0.6695357048605088,0.688131806752014,0.9581541213515203,0.7737330464479742,0.7695614862396234
15,0.905087060430181,0.8433686052764257,0.7926010093045674,0.8142680375550102,0.9825092213449755,0.8563657475482479,0.8554876865965008,0.8472032742155525,0.7650173079483424,0.6585606330705631,0.6828819158563271,0.9587897610705195,0.7717795666591336,0.766525323709499
16,0.9067941276886309,0.8592078055109018,0.7998498282607116,0.8245929239752685,0.9846088070055726,0.8590000206631371,0.8580332375545591,0.8226466575716235,0.7278433054635884,0.6882916937494618,0.6806221785884217,0.9558380102879529,0.7425388662159262,0.736358656256398
17,0.9207920792079208,0.8680437428531071,0.8295715096110706,0.8468642371246762,0.9864406764262583,0.880177847202876,0.8796612945927734,0.8526603001364257,0.7641255476549594,0.674916281943748,0.6943393771577031,0.9576670990977181,0.777738549864435,0.7752676297837671
18,0.9204506657562308,0.8770041640348758,0.828350377226938,0.8496675837211312,0.9862780840050217,0.8797570780062178,0.8790371995125734,0.834924965893588,0.7343934249740702,0.6645731026905729,0.6634689144044363,0.9534920133481913,0.753320568376951,0.7509099385510632
19,0.9221577330146807,0.8737144347081397,0.8380615100603526,0.854059052725525,0.9882337460599822,0.8822985563694803,0.8819163580391536,0.8431105047748977,0.731664399947565,0.7001522281002069,0.7021158531023206,0.9572606823706223,0.7650267702380925,0.7641761482057581
20,0.9272789347900308,0.8816185032392297,0.851719392903075,0.8654256827853393,0.9893517508745197,0.8900064334047163,0.8897733689426122,0.8512960436562074,0.7699885116886787,0.6563719277031639,0.6846021697813558,0.9561451516877055,0.7746231628291607,0.7704425826322806
21,0.9283031751451007,0.8723454361081492,0.8465331240377896,0.8583359054954005,0.9904115229454288,0.8916735903175584,0.8914440035382312,0.859481582537517,0.7787747162611933,0.7051420166297391,0.7236459517402632,0.9571162864299483,0.7886974643375996,0.7869414546870679
22,0.9296688289518606,0.8863545336553349,0.8520960264599022,0.8677774581087488,0.9900815038135757,0.893620151603111,0.8932717063200413,0.8417462482946794,0.7382060453029566,0.7128697113796414,0.7137078490963306,0.9558876209824977,0.764454898018896,0.7628063323802218
23,0.9327415500170707,0.8910015532374693,0.8637897681849328,0.8763286014292495,0.9917518481970784,0.8983415067036521,0.8980969999337733,0.8321964529331515,0.7528623002615523,0.718064118653536,0.6900267009071828,0.9536167582842765,0.753446735262228,0.7498307398610402
24,0.9221577330146807,0.8658541183529893,0.8376566253794134,0.8507477117150174,0.9895193861713099,0.8821816886390814,0.8818879129714561,0.8458390177353342,0.7392706589695138,0.7086658150492133,0.7151649866736116,0.9538662922588383,0.7691917261900262,0.7679677957935076
25,0.9423011266643906,0.9072903743003632,0.877293487298737,0.8912240492494433,0.9935108361041068,0.9127163173217504,0.9125110686530443,0.849931787175989,0.7696011658072608,0.661325810115988,0.6895476833108412,0.9516461725890965,0.773618199560667,0.7695469251963553
