epoch,train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mcc,train_kappa,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mcc,val_kappa
1,0.8031107738998483,0.6404873986290378,0.539533766350416,0.5510315828691976,0.9303191136903681,0.7072745546006991,0.6933234700739744,0.8681818181818182,0.6635978612069944,0.6475578158232974,0.6480093171764744,0.9801017768571804,0.8048265027061571,0.7966577071403529
2,0.928679817905918,0.8925629393179575,0.813006464713283,0.8375621929290791,0.9867490006607424,0.8930900782316978,0.891809569052919,0.9257575757575758,0.8964964857553867,0.829772817290741,0.8498609284854727,0.9845183657993044,0.8885481508886165,0.8877523749362229
3,0.9423368740515933,0.8969595942695703,0.862171843389722,0.8767066501927824,0.992139165047665,0.9133275159358514,0.91302101491402,0.9287878787878788,0.889010520151724,0.852764226256323,0.8650628615346239,0.9857175291186332,0.8933338889650569,0.8928982049573423
4,0.9563732928679818,0.9288453535477184,0.8970933012797542,0.9116509493698073,0.9940999827683648,0.9344618340973861,0.9342008443581034,0.9318181818181818,0.8800692390748533,0.8794533200088523,0.8789154004934865,0.9860242403914589,0.8978730164266662,0.8977417100202795
5,0.9609256449165402,0.9295481973921724,0.9089598885042449,0.9186586111636181,0.9954967995118988,0.9412906979308561,0.941174660827205,0.9333333333333333,0.885069347370188,0.8786780843155839,0.8813734168848251,0.985970548903348,0.8999914582927615,0.8999228054697839
6,0.9639605462822458,0.9340877802358694,0.9194887608207196,0.9265401520936333,0.9966674634437929,0.945842607563574,0.9457831820911731,0.9287878787878788,0.8755880002962583,0.8731179162821443,0.8737946014961839,0.9858768488859251,0.8933263221743095,0.893241006191471
7,0.966236722306525,0.9409221719537832,0.9238737535009193,0.9318845786674688,0.996850846514554,0.9492782046638905,0.9492169565717138,0.9318181818181818,0.8898396761774956,0.8734554283361462,0.8804916390532442,0.9853931867449146,0.8977359098400842,0.8975469921245718
8,0.9685128983308042,0.9433546970037214,0.9337455699273409,0.9384396963819454,0.9972712196982595,0.9527122050187434,0.9526810632551331,0.9287878787878788,0.8867255630210611,0.8629516858555473,0.8735713720890956,0.9853689568635817,0.8930841455168017,0.8928171603112518
9,0.9704097116843703,0.9492988717037267,0.9344022813466955,0.9415426386352121,0.9978822792113258,0.9555524025571042,0.9554868640481866,0.9287878787878788,0.8833089955399437,0.8717799930981768,0.8759369041073672,0.9853250525171727,0.8936761121564478,0.8932832431986129
10,0.973823975720789,0.9504837717439486,0.9404722826222107,0.945311710784887,0.9979221285655864,0.9606889692813534,0.9606662286732303,0.9318181818181818,0.8912804131151209,0.8619322939439495,0.8753068715365341,0.984963113854176,0.8975875567742995,0.8971307443993405
