epoch,train_accuracy,train_precision,train_recall,train_f1,train_auc,train_mcc,train_kappa,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_mcc,val_kappa
1,0.7446889226100152,0.5824569656470887,0.4041571814680259,0.37451740370461645,0.8833542054685765,0.605557482242229,0.5786886308760312,0.8166666666666667,0.6841791826107,0.5219496636858592,0.5364170242255237,0.9679299481499344,0.7299487894486804,0.7078203603768407
2,0.874051593323217,0.8308841753804505,0.6489243980800741,0.6604909068644912,0.9785181026327306,0.8134486900187871,0.8045871834136508,0.8848484848484849,0.8691309523809524,0.6909050603080202,0.6854461295557096,0.9786826626759885,0.8281831331552802,0.8235678961104741
3,0.9169195751138088,0.8684765791402713,0.7772825871005675,0.7962726156518524,0.9860789674690201,0.8755471564353476,0.8737284177992526,0.9166666666666666,0.8843883141959351,0.8089393015827966,0.8349793114435059,0.9818421060406288,0.8751146230984523,0.8737127748399667
4,0.936267071320182,0.8884642159270237,0.8424567868261926,0.8594242946891919,0.9893592570988673,0.9043181710634225,0.9037715173269634,0.9257575757575758,0.8910672411057414,0.8408839816424404,0.8591034922354897,0.9835070202909361,0.8887277007003092,0.8880104717480963
5,0.9438543247344461,0.9011374922928175,0.8644783695047795,0.879402401267888,0.9919268196053233,0.9156680408626972,0.915307637417661,0.9303030303030303,0.8933918814605988,0.8580067338081678,0.8715722155378967,0.9840382527338851,0.8953203165845305,0.8949847977004577
6,0.952959028831563,0.9186162602730524,0.8915122244068516,0.9031361381264329,0.9936392577548983,0.929343761048656,0.9291660282816655,0.9318181818181818,0.8867214992347972,0.8655891513905853,0.874454093913388,0.9845328405939003,0.8975871933533297,0.8973905412735319
7,0.9582701062215478,0.9279274933430598,0.9102976500232212,0.9182603041788742,0.993871767001344,0.9373448511588783,0.937255832009393,0.9303030303030303,0.8930697832470192,0.8561783050848499,0.8715017370432756,0.984527493686703,0.8952106576723106,0.894871342052502
8,0.9571320182094082,0.9298902906705335,0.9027927811090002,0.9154314426603177,0.994361043890243,0.9355936593980239,0.9353970191814905,0.9272727272727272,0.8839989350139816,0.8701370366667419,0.873304962760832,0.985034501557363,0.8913681202899764,0.8910490313749901
9,0.9609256449165402,0.9313120969111391,0.9074950956548019,0.9182595351320778,0.9948414433096907,0.9412867639283289,0.9411707095535086,0.9318181818181818,0.8869428545782897,0.8669857585009989,0.8760562967056706,0.9852543150217009,0.8976583142015178,0.8973901867705893
10,0.9635811836115327,0.933840187530793,0.920580703595553,0.9269815842364769,0.9958706556240626,0.9452942333930452,0.94523794581704,0.9363636363636364,0.9026186305243099,0.8743942068301636,0.8862803347019405,0.9856001307599442,0.9044273333828031,0.9042003912162956
11,0.9635811836115327,0.9355972834888299,0.9240910268539897,0.9294904305177821,0.9963618365573902,0.9452929908976855,0.9452663016253825,0.9318181818181818,0.8893783963891163,0.8688340387967239,0.8778158059690861,0.9852109829628665,0.8976770591315673,0.8974596225685502
12,0.9688922610015175,0.9434586336142272,0.92994149703297,0.9364870076404896,0.9963383851224915,0.9532815213002638,0.9532195940454927,0.9303030303030303,0.8869878869002912,0.8682129207843016,0.8762450505010259,0.9852342589107623,0.8955137529242176,0.8952727874824075
13,0.9704097116843703,0.949493976562451,0.9313442530722418,0.9399813622723598,0.9966904797635078,0.9555482033663477,0.9554724715368417,0.9333333333333333,0.8907783141870114,0.8662686999247311,0.8766127514835722,0.9849875161473662,0.8999971752123224,0.8996818422061704
14,0.9711684370257967,0.9470179409977539,0.9382031634016451,0.9424879466326621,0.9970830797192463,0.9567094876977049,0.9566664186374892,0.9303030303030303,0.879613628605564,0.8640443286256879,0.8711013681057175,0.9855621373210738,0.8952393847507988,0.8951396756099583
15,0.9688922610015175,0.9422644073412135,0.9326654287164624,0.9373599761520142,0.9969861472994346,0.9532667155577615,0.9532405724867176,0.9287878787878788,0.88290625424723,0.8643667669381477,0.8722846544614219,0.9847985084630662,0.8932364616161526,0.8929961089494164
